x,y,z
-0.551,-0.037,2.0
-0.551,0.037,2.0
-0.549,-0.433,0.4
-0.549,0.433,0.4
-0.547,-0.32,1.0
-0.547,0.32,1.0
-0.545,-0.051,2.0
-0.545,0.051,2.0
-0.54,-0.062,2.0
-0.54,0.062,2.0
-0.539,-0.363,0.8
-0.539,0.363,0.8
-0.538,-0.065,2.0
-0.538,0.065,2.0
-0.535,-0.324,1.0
-0.535,0.324,1.0
-0.533,-0.073,2.0
-0.533,0.073,2.0
-0.529,-0.082,2.0
-0.529,0.082,2.0
-0.528,-0.396,0.6
-0.528,0.396,0.6
-0.516,-0.33,1.0
-0.516,0.33,1.0
-0.515,-0.369,0.8
-0.515,-0.102,2.0
-0.515,0.102,2.0
-0.515,0.369,0.8
-0.508,-0.111,2.0
-0.508,0.111,2.0
-0.5,-0.371,0.8
-0.5,-0.335,1.0
-0.5,0.335,1.0
-0.5,0.371,0.8
-0.497,-0.123,2.0
-0.497,0.123,2.0
-0.485,-0.403,0.6
-0.485,0.403,0.6
-0.484,-0.375,0.8
-0.484,0.375,0.8
-0.48,-0.341,1.0
-0.48,-0.14,2.0
-0.48,0.14,2.0
-0.48,0.341,1.0
-0.475,-0.145,2.0
-0.475,0.145,2.0
-0.469,-0.15,2.0
-0.469,0.15,2.0
-0.466,-0.345,1.0
-0.466,0.345,1.0
-0.463,-0.406,0.6
-0.463,0.406,0.6
-0.462,-0.156,2.0
-0.462,0.156,2.0
-0.459,-0.379,0.8
-0.459,0.379,0.8
-0.457,-0.159,2.0
-0.457,0.159,2.0
-0.455,-0.348,1.0
-0.455,0.348,1.0
-0.452,-0.163,2.0
-0.452,0.163,2.0
-0.447,-0.166,2.0
-0.447,0.166,2.0
-0.434,-0.175,2.0
-0.434,0.175,2.0
-0.423,-0.354,1.0
-0.423,0.354,1.0
-0.419,-0.386,0.8
-0.419,0.386,0.8
-0.418,-0.185,2.0
-0.418,0.185,2.0
-0.409,-0.357,1.0
-0.409,0.357,1.0
-0.408,-0.191,2.0
-0.408,0.191,2.0
-0.405,-0.47,0.2
-0.405,-0.445,0.4
-0.405,0.445,0.4
-0.405,0.47,0.2
-0.397,-0.359,1.0
-0.397,-0.196,2.0
-0.397,0.196,2.0
-0.397,0.359,1.0
-0.389,-0.36,1.0
-0.389,0.36,1.0
-0.381,-0.362,1.0
-0.381,0.362,1.0
-0.378,-0.205,2.0
-0.378,0.205,2.0
-0.376,-0.392,0.8
-0.376,0.392,0.8
