x,y,z
-1.257,-0.35,-0.1
-1.257,-0.172,-0.2
-1.257,0.172,-0.2
-1.257,0.35,-0.1
-1.23,-0.359,-0.1
-1.23,0.359,-0.1
-1.225,-0.192,-0.2
-1.225,0.192,-0.2
-1.194,-0.212,-0.2
-1.194,0.212,-0.2
-1.193,-0.37,-0.1
-1.193,0.37,-0.1
-1.167,-0.377,-0.1
-1.167,0.377,-0.1
-1.165,-0.231,-0.2
-1.165,0.231,-0.2
-1.138,-0.248,-0.2
-1.138,0.248,-0.2
-1.133,-0.387,-0.1
-1.133,0.387,-0.1
-1.12,-0.011,-0.3
-1.12,0.0,-0.3
-1.12,0.011,-0.3
-1.115,-0.042,-0.3
-1.115,0.042,-0.3
-1.112,-0.262,-0.2
-1.112,0.262,-0.2
-1.105,-0.075,-0.3
-1.105,0.075,-0.3
-1.097,-0.395,-0.1
-1.097,0.395,-0.1
-1.088,-0.107,-0.3
-1.088,0.107,-0.3
-1.08,-0.279,-0.2
-1.08,0.279,-0.2
-1.064,-0.136,-0.3
-1.064,0.136,-0.3
-1.05,-0.292,-0.2
-1.05,0.292,-0.2
-1.037,-0.164,-0.3
-1.037,0.164,-0.3
-1.008,-0.311,-0.2
-1.008,0.311,-0.2
-1.007,-0.191,-0.3
-1.007,0.191,-0.3
-0.983,-0.321,-0.2
-0.983,0.321,-0.2
-0.982,-0.21,-0.3
-0.982,0.21,-0.3
-0.961,-0.417,-0.1
-0.961,0.417,-0.1
-0.954,0.0,-0.4
-0.953,-0.332,-0.2
-0.953,0.332,-0.2
-0.952,-0.022,-0.4
-0.952,0.022,-0.4
-0.95,-0.232,-0.3
-0.95,0.232,-0.3
-0.945,-0.053,-0.4
-0.945,0.053,-0.4
-0.942,-0.419,-0.1
-0.942,0.419,-0.1
-0.925,-0.421,-0.1
-0.925,0.421,-0.1
-0.924,-0.09,-0.4
-0.924,0.09,-0.4
-0.922,-0.341,-0.2
-0.922,0.341,-0.2
-0.916,-0.25,-0.3
-0.916,0.25,-0.3
-0.905,-0.422,-0.1
-0.905,0.422,-0.1
